기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
글로리,중소기업,서울 서초구,일반 의원,,,,
글로리,중소기업,경기 이천시,위생용 종이제품 제조업,,,,
글로리,중소기업,인천 부평구,제약·보건·바이오,,,,
글로리,중소기업,서울 중구,쇼핑몰·오픈마켓·소셜커머스,,,,
글로리,중소기업,인천 남동구,가전제품 소매업,,,,
글로리,중소기업,경기 고양시,백화점·유통·도소매,,,,
글로리,중소기업,인천 부평구,그 외 자동차용 신품 부품 제조업,-,-,주영광,-
글로리,중소기업,경기 성남시,전자상거래 소매 중개업,-,-,임은영,-
글로리,중소기업,인천 서구,산업용 냉장 및 냉동 장비 제조업,9억원,100억 2백만원,김시준,2009.09.02
글로리,중소기업,부산 금정구,생활용품·소비재·기타,,,,
하나비앤씨건설,중소기업,경남 김해시,시설물 유지관리 공사업,,,,
아이클라우드,중소기업,서울 영등포구,컴퓨터시스템 통합 자문 및 구축 서비스업,,,,
아이클라우드,중소기업,인천 부평구,솔루션·SI·CRM·ERP,,,,
아람솔루션,중소기업,전북 전주시,솔루션·SI·CRM·ERP,2억원,20억,이준,2009.04.03
아람솔루션,중소기업,경기 파주시,컴퓨터·하드웨어·장비,1억원,5억,권진웅,2006.11.16
타이거석재,중소기업,인천 중구,무역·상사,,,,
씨케이솔루션,대기업 계열사·자회사,서울 송파구,컴퓨터·하드웨어·장비,,,,
씨케이솔루션,중소기업,서울 금천구,데이터베이스 및 온라인정보 제공업,,,,
씨케이솔루션,중소기업,경기 과천시,정보보안,,,,
씨케이솔루션,대기업,서울 서초구,포장용 유리용기 제조업,,,,
씨케이솔루션,중견기업,경기 용인시,기계·기계설비,,,,
씨케이솔루션,중견기업,충남 천안시,금속·재료·자재,,,,
씨케이솔루션,중소기업,서울 은평구,콜센터·아웃소싱·기타,2억원,20억,유영옥,2020.03.01
씨케이솔루션,벤처기업,서울 서초구,반도체·디스플레이·광학,,,,
씨케이솔루션,중소기업,서울 송파구,응용 소프트웨어 개발 및 공급업,,,,
씨케이솔루션,중소기업,서울 강남구,무역·상사,,,,
국방기술품질원,공공기관,경남 진주시,국방 행정,,,,
더오포,벤처기업,경기 성남시,화학·에너지·환경,,,,
티디에이종합건설,중소기업,경기 성남시,건설·시공·토목·조경,,,,
대영라이팅,중소기업,인천 서구,일반용 전기 조명장치 제조업,,,,
목포해상케이블카,중소기업,전남 목포시,서치펌·헤드헌팅,,,,
대화엔지니어링,중소기업,울산 남구,기타 물품 취급장비 제조업,,,,
성진토건,중소기업,경기 화성시,콘크리트 및 철근 공사업,,,,
성진토건,중소기업,충남 부여군,건물 건설업,,,,
성진토건,중소기업,경기 구리시,건설·시공·토목·조경,,,,
대영넥스젠,중소기업,경남 사천시,육상 금속 골조 구조재 제조업,,,,
신성소재,중소기업,충북 진천군,그 외 기타 분류 안된 화학제품 제조업,,,,
신성소재,중소기업,경기 안성시,화학·에너지·환경,,,,
고릴라브루잉컴퍼니,중소기업,부산 수영구,맥아 및 맥주 제조업,,,,
누리종합전기,중소기업,서울 강남구,일반전기 공사업,,,,
알에스솔루션즈,중소기업,경기 성남시,응용 소프트웨어 개발 및 공급업,,,,
유신단열,중소기업,부산 동래구,암면 및 유사제품 제조업,,,,
더원,중소기업,서울 강남구,응용 소프트웨어 개발 및 공급업,,,,
더원,중소기업,제주 제주시,골프장 운영업,,,,
더원,중소기업,서울 마포구,방송 프로그램 제작업,,,,
더원,중소기업,경기 포천시,식품가공,,,,
더원,중소기업,인천 연수구,호텔·여행·항공,,,,
더원,중소기업,인천 남동구,생활화학·화장품,,,,
더원,중소기업,서울 강남구,음식료·외식·프랜차이즈,,,,
더원,중소기업,서울 강동구,간판 및 광고물 제조업,,,,
더원,중소기업,제주 제주시,호텔업,,,,
더원,중소기업,강원 원주시,건물 및 구축물 해체 공사업,,,,
신성이엔지,중소기업,부산 연제구,건축·설비·환경,,,,
신성이엔지,중소기업,경기 시흥시,산업용 냉장 및 냉동 장비 제조업,,,,
신성이엔지,중견기업,경기 성남시,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",,,,
신성이엔지,중소기업,서울 강남구,금융리스업,,,,
신성이엔지,중소기업,경기 과천시,기타 엔지니어링 서비스업,,,,
신성이엔지,중소기업,경기 성남시,전기·전자·제어,,,,
삼호정공,중소기업,광주 광산구,"금속 문, 창, 셔터 및 관련제품 제조업",,,,
하이센스바이오,중소기업,경기 과천시,의학 및 약학 연구개발업,,,,
샤론일렉콤,중소기업,경기 오산시,일반전기 공사업,,,,
에스이솔루션,중소기업,경기 수원시,환경 관련 엔지니어링 서비스업,,,,
에스이솔루션,중소기업,경기 하남시,기타 엔지니어링 서비스업,,,,
에스이솔루션,중소기업,충남 천안시,물류·운송·배송,,,,
디오팩토리,중소기업,서울 금천구,시스템 소프트웨어 개발 및 공급업,,,,
디오팩토리,중소기업,경기 평택시,광고·홍보·전시,,,,
광일산업,중소기업,충청남도 금산군,자동차·조선·철강·항공,,,,
광일산업,중소기업,광주 광산구,육상 금속 골조 구조재 제조업,,,,
광일산업,중소기업,경기 고양시,그 외 기타 기계 및 장비 도매업,,,,
예천,공공기관,경북 예천군,지방행정 집행기관,,,,
예천,중소기업,부산 부산진구,백화점·유통·도소매,,,,
예천,중소기업,경북 예천군,탁주 및 약주 제조업,,,,
예천,국내 공공기관·공기업,경북 예천군,공기업·공공기관,,,,
예천,비영리법인,경북 예천군,신용조합,,,,
예천,비영리법인,경북 예천군,신용조합,,,,
예천,비영리법인,경상북도 예천군,그 외 기타 협회 및 단체,,,,
예천,비영리단체·교육재단,경북 예천군,협회·단체,,,,
에이에프텍,중소기업,서울 마포구,통신.방송장비 및 부품 도매업,,,,
에이에프텍,중소기업,경기 화성시,화학·에너지·환경,,,,
상지건설,중소기업,광주 남구,건설·시공·토목·조경,,,,
상지건설,중소기업,충북 청주시,사무.상업용 및 공공기관용 건물 건설업,,,,
아이엔솔루션,중소기업,서울 강남구,금속·재료·자재,,,,
아이엔솔루션,중소기업,경기 과천시,정보보안,3억원,120억,최동성,1997
아이엔솔루션,중소기업,부산 동구,네트워크·통신서비스,"1억 5,000만원",80억,김정례,2011.08.01
아이엔솔루션,벤처기업,경기도 화성시,기계·기계설비,-,-,서태운,2010.06.21
아이엔솔루션,벤처기업,경기도 시흥시,금속·재료·자재,"9억 9,000만원",16억 8천만,이영순,2013.07.15
아이엔솔루션,중소기업,경남 통영시,"기타 기술 시험, 검사 및 분석업",1억원,97억 2천만원,이기태,2014.10.01
아이엔솔루션,중소기업,서울 서초구,사업시설 유지.관리 서비스업,-,-,김영숙,2017.01.31
아이엔솔루션,중소기업,경기 남양주시,응용 소프트웨어 개발 및 공급업,"1,000만원",2억 402만원,권현철,2019.10.15
아이엔솔루션,중소기업,서울 중구,응용 소프트웨어 개발 및 공급업,7억 185만원,25억 2천만원,김효준,2005.03.22
아이엔솔루션,중소기업,광주 북구,광학렌즈 및 광학요소 제조업,"1억 9,986만원",38억 7천만원,이경석,2009.09.23
로그프레소,중소기업,서울 마포구,응용 소프트웨어 개발 및 공급업,,,,
벌교꼬막,중소기업,전남 보성군,"수산동물 훈제, 조리 및 유사 조제식품 제조업",,,,
벌교꼬막,중소기업,인천 동구,한식 일반 음식점업,,,,
벌교꼬막,중소기업,서울 중랑구,한식 해산물요리 전문점,,,,
성호하이텍,중소기업,대구 서구,금속 절삭기계 제조업,,,,
제이와이,중견기업,서울 강동구,연예·엔터테인먼트,,,,
제이와이,대기업 계열사·자회사,서울 강동구,연예·엔터테인먼트,,,,
제이와이,중소기업,서울 금천구,학원·어학원·교육원,,,,
제이와이,중소기업,경기 광주시,전기·전자·제어,,,,
제이와이,중소기업,경북 구미시,전기·전자·제어,,,,
제이와이,중소기업,서울 강서구,광고·홍보·전시,,,,
제이와이,중소기업,경기 성남시,측량업,,,,
제이와이,중소기업,인천 연수구,그 외 기타 전자부품 제조업,,,,
제이와이,중소기업,경기 광주시,구두류 제조업,,,,
제이와이,중소기업,전남 광양시,선박 구성 부분품 제조업,,,,
한국광유,중소기업,대구 중구,통신.방송장비 및 부품 도매업,,,,
이앤원,중소기업,경기 용인시,상용 인력 공급 및 인사관리 서비스업,,,,
이앤원,중소기업,경기 화성시,건축·설비·환경,,,,
이앤원,중소기업,광주 광산구,비주거용 건물 임대업,,,,
이앤원,중소기업,대전 유성구,운동 및 경기용품 도매업,,,,
이앤원,중소기업,서울 마포구,문화·공연·예술,1억원,3억,이제이,2022.06.15
이앤원,비영리단체·교육재단,부산 금정구,사회복지·요양,,,,
이앤원,중소기업,서울 강북구,콜센터·아웃소싱·기타,,,,
이앤원,중소기업,강원 원주시,정비·A/S·카센터,,,,
세화엔스텍,중소기업,인천 서구,화학·에너지·환경,,,,
알스퀘어디자인,중소기업,서울 강남구,"도배, 실내장식 및 내장 목공사업",,,,
화진데이크로,중소기업,제주 제주시,도금업,,,,
페라솔루션,중소기업,서울 중구,응용 소프트웨어 개발 및 공급업,,,,
한국프라마스,중소기업,충남 아산시,신발 부분품 제조업,,,,
네오코드아이엔에스,중소기업,서울 구로구,컴퓨터·하드웨어·장비,,,,
이토마토,중소기업,서울 마포구,데이터베이스 및 온라인정보 제공업,,,,
이토마토,중소기업,부산 사하구,기타 엔지니어링 서비스업,,,,
이토마토,중소기업,대구 달성군,조경 건설업,,,,
이토마토,중소기업,충남 천안시,단독 주택 건설업,,,,
알리스타종사,중소기업,서울 성동구,광고 대행업,,,,
제타미디어,중소기업,서울 서초구,솔루션·SI·CRM·ERP,,,,
씨자인,중소기업,경기 성남시,전기·전자·제어,,,,
씨자인,중소기업,서울 서대문구,시설관리·보안·경비,,,,
씨자인,중소기업,경기 안산시,부동산·중개·임대,,,,
정선이엔아이,중소기업,충북 청주시,건축·설비·환경,-,-,이승찬,-
정일,중소기업,서울 용산구,원양 어업,,,,
정일,중견기업,울산 울주군,위험물품 보관업,,,,
정일,대기업,울산 울주군,수상 화물 취급업,,,,
정일,중소기업,경기 양주시,건설용 석제품 제조업,,,,
정일,중소기업,부산 서구,냉장 및 냉동 창고업,,,,
정일,중소기업,서울 서초구,부동산 감정평가업,,,,
정일,중소기업,인천 미추홀구,일반 교과 학원,,,,
정일,중소기업,서울 구로구,공인회계사업,,,,
정일,중소기업,서울 금천구,전기·전자·제어,,,,
정일,중소기업,경기 김포시,생활용품·소비재·기타,,,,
시노펙스,중견기업,경기 화성시,전기·전자·제어,,,,
시노펙스,중소기업,서울 중구,그 외 기타 금융 지원 서비스업,,,,
시노펙스,중소기업,경기 화성시,생활용품·소비재·기타,,,,
시노펙스,중소기업,부산 사상구,폐수 처리업,,,,
시노펙스,중견기업,경북 포항시,그 외 기타 종이 및 판지 제품 제조업,,,,
시노펙스,중소기업,서울 강남구,그 외 기타 상품 전문 도매업,,,,
신비넷,중소기업,부산 중구,네트워크·통신서비스,,,,
신비넷,벤처기업,서울 구로구,모바일·APP,,,,
태영이앤티서울지사,중소기업,서울 동작구,제약·보건·바이오,,,,
진영건설,중소기업,충남 아산시,기타 토목시설물 건설업,,,,
진영건설,중소기업,서울 강서구,건물 건설업,,,,
진영건설,중소기업,서울 송파구,기타 공동 주택 건설업,,,,
진영건설,중소기업,부산 강서구,배관 및 냉ㆍ난방 공사업,,,,
대명코리아,중소기업,경기 포천시,금속·재료·자재,,,,
대명코리아,중소기업,경기도 화성시,보험 대리 및 중개업,,,,
대명코리아,중소기업,대구 남구,자동차 전문 수리업,,,,
영암산업,중소기업,경기 포천시,기계·기계설비,,,,
비아이씨엔에스,중소기업,경기 성남시,IT컨설팅,,,,
비아이씨엔에스,중소기업,서울 영등포구,응용 소프트웨어 개발 및 공급업,,,,
비아이씨엔에스,중소기업,인천 동구,도장 공사업,,,,
비아이씨엔에스,중소기업,경기 수원시,기계·기계설비,,,,
와이즈브레인,중소기업,경기 용인시,그 외 기타 분류 안된 사업지원 서비스업,,,,
에이티솔루션,중소기업,경기 오산시,생활용품·소비재·기타,,,,
에이티솔루션,중소기업,인천 서구,도장 및 기타 피막처리업,,,,
에이티솔루션,중소기업,경기 군포시,유선 통신장비 제조업,,,,
에이티솔루션,중소기업,서울 강남구,시스템 소프트웨어 개발 및 공급업,,,,
에이티솔루션,중소기업,경기 부천시,기계·기계설비,,,,
에이티솔루션,중소기업,서울 강서구,전기·전자·제어,,,,
나노에스엠,중소기업,경기 수원시,상품 종합 도매업,,,,
나노에스엠,중소기업,경기 남양주시,백화점·유통·도소매,,,,
나노에스엠,중소기업,대전 유성구,"산업용 오븐, 노 및 노용 버너 제조업",,,,
나노에스엠,중소기업,충북 청주시,"골재, 벽돌 및 시멘트 도매업",,,,
동경건설,중소기업,전북 전주시,기타 토목시설물 건설업,,,,
동경건설,중소기업,경기 수원시,주거용 건물 건설업,,,,
동경건설,중소기업,서울특별시 강남구,단독 주택 건설업,,,,
동경건설,중소기업,울산 중구,비계 및 형틀 공사업,,,,
동경건설,중소기업,부산 금정구,"미장, 타일 및 방수 공사업",,,,
케이시스템,벤처기업,경기 용인시,기계·기계설비,,,,
케이시스템,중소기업,경남 창원시,사업시설 유지.관리 서비스업,,,,
케이시스템,중소기업,인천 미추홀구,콜센터·아웃소싱·기타,,,,
케이시스템,중소기업,경북 포항시,컴퓨터 제조업,,,,
케이시스템,중소기업,경기 시흥시,기계·기계설비,,,,
케이시스템,중소기업,경기 부천시,그 외 기타 전자부품 제조업,,,,
케이시스템,중소기업,서울 구로구,전기용 기계.장비 및 관련 기자재 도매업,,,,
케이시스템,벤처기업,경기 오산시,전기·전자·제어,"5,000만원",97억 3천만,황보동식,2012.07.18
케이시스템,중소기업,서울 성동구,컴퓨터 프로그래밍 서비스업,"5,000만원","7억 3,392만원",강동균,2004.03.18
케이시스템,중소기업,경기 안양시,그 외 기타 전자부품 제조업,,,,
다산건설,중소기업,서울 강남구,건물 건설업,,,,
다산건설,중소기업,서울 송파구,건설·시공·토목·조경,,,,
다산건설,중소기업,경기 남양주시,조적 및 석 공사업,,,,
다산건설,중소기업,서울 강남구,콘크리트 및 철근 공사업,,,,
삼은개발,중소기업,부산 연제구,제약·보건·바이오,,,,
삼은개발,중소기업,서울 강남구,주거용 건물 개발 및 공급업,,,,
삼은개발,중소기업,경기 수원시,고용 알선업,,,,
삼은개발,중소기업,경기 부천시,건설·시공·토목·조경,,,,
삼은개발,중소기업,충북 청주시,부동산·중개·임대,,,,
삼은개발,중소기업,경남 사천시,골프장 운영업,,,,
삼은개발,중소기업,경기 남양주시,비주거용 건물 개발 및 공급업,,,,
삼은개발,중소기업,서울 강남구,아파트 건설업,,,,
삼은개발,중소기업,제주 제주시,유리 및 창호 공사업,,,,
삼은개발,중소기업,부산 부산진구,비주거용 건물 임대업,,,,
누리랩,중소기업,서울 영등포구,응용 소프트웨어 개발 및 공급업,,,,
누리랩,중소기업,부산 남구,IT컨설팅,,,,
뉴하나회,중소기업,전남 고흥군,비주거용 부동산 관리업,,,,
한그린테크,벤처기업,서울 금천구,화학·에너지·환경,,,,
풀토래,중소기업,대구 서구,가금류 도축업,,,,
그래,중소기업,서울 강남구,남녀용 겉옷 및 셔츠 도매업,,,,
그래,중소기업,서울 종로구,신발 도매업,,,,
그래,중소기업,경기 용인시,음식료·외식·프랜차이즈,,,,
그래,중소기업,서울 용산구,음식료·외식·프랜차이즈,,,,
그래,중소기업,대구 달성군,전자상거래 소매 중개업,,,,
그래,중소기업,경기 성남시,콜센터·아웃소싱·기타,-,-,김연진,-
그래,중소기업,대전 동구,가금류 가공 및 저장 처리업,,,,
그래,중소기업,경기 광명시,기타 인쇄업,,,,
신화컨소시엄,중소기업,경기 김포시,가전제품 및 부품 도매업,,,,
유닉코리아,중소기업,부산 남구,수송용 운송장비 도매업,,,,
미션테크,중소기업,인천 미추홀구,그 외 기타 전자부품 제조업,,,,
유림퍼니처,중소기업,강원 속초시,기타 목재가구 제조업,,,,
그린개발,중소기업,인천 서구,화학·에너지·환경,,,,
그린개발,중소기업,광주 북구,시설물 유지관리 공사업,,,,
그린개발,중소기업,경기 안양시,배관 및 냉ㆍ난방 공사업,,,,
그린개발,중소기업,서울 광진구,부동산·중개·임대,,,,
그린개발,중소기업,인천 미추홀구,기타 옥외 시설물 축조 관련 전문공사업,,,,
그린개발,중소기업,서울 송파구,"미장, 타일 및 방수 공사업",,,,
그린개발,중소기업,광주 북구,건물 및 구축물 해체 공사업,,,,
그린개발,중소기업,경기 용인시,부동산 중개 및 대리업,,,,
그린개발,중소기업,경기 안산시,건축·설비·환경,,,,
승원철강,중소기업,경기 시흥시,1차 금속제품 도매업,,,,
맥스인,중소기업,인천 서구,전기·전자·제어,,,,
맥스인,중소기업,서울 중구,보험 대리 및 중개업,,,,
맥스인,중소기업,충북 청주시,네트워크·통신서비스,,,,
맥스인,중소기업,서울 성북구,그 외 기타 상품 전문 도매업,,,,
맥스인,중소기업,서울 금천구,기타 산업용 기계 및 장비 도매업,,,,
맥스인,중소기업,충남 천안시,증권·보험·카드,,,,
맥스인,중소기업,서울 금천구,통신기기 소매업,,,,
맥스인,중소기업,울산 북구,배전반 및 전기 자동제어반 제조업,,,,
맥스인,중소기업,서울 강동구,건축·설비·환경,,,,
강동문화원,비영리법인,서울 강동구,기타 비거주 복지 서비스업,,,,
대지,중소기업,대구 달서구,자동차·조선·철강·항공,,,,
대지,대기업,서울 강남구,백화점·유통·도소매,,,,
대지,중소기업,전북 익산시,상용 인력 공급 및 인사관리 서비스업,,,,
대지,중소기업,충북 음성군,그 외 자동차용 신품 부품 제조업,,,,
대지,중소기업,대전 유성구,상품 종합 도매업,,,,
대지,중소기업,충북 음성군,자동차·조선·철강·항공,,,,
대지,중소기업,경기 양평군,골프장 운영업,,,,
대지,중소기업,경기 용인시,차체 및 특장차 제조업,,,,
대지,중소기업,대구 달성군,배전반 및 전기 자동제어반 제조업,,,,
대지,중소기업,충남 천안시,화학·에너지·환경,,,,
한호,중소기업,경기 안양시,전기·전자·제어,,,,
한호,중소기업,전북 완주군,그 외 자동차용 신품 부품 제조업,,,,
한호,중소기업,서울 송파구,일반 의원,,,,
한호,중소기업,경북 경주시,그 외 자동차용 신품 부품 제조업,,,,
한호,중소기업,서울특별시 송파구,건설ㆍ광업용 기계 및 장비 도매업,,,,
한호,중소기업,전북 익산시,물류·운송·배송,,,,
한호,중소기업,경기 안양시,디자인·CAD,,,,
한호,중소기업,경기 수원시,그 외 기타 스포츠 서비스업,,,,
포엠인포텍,중소기업,서울 금천구,응용 소프트웨어 개발 및 공급업,,,,
동신기공,중소기업,인천 남동구,"라디오, 녹음 및 재생 기기 제조업",,,,
드림건설,중소기업,부산 해운대구,기타 공동 주택 건설업,,,,
드림건설,중소기업,경기도 안양시,건설·시공·토목·조경,,,,
드림건설,중소기업,경기 고양시,그 외 기타 건축 마무리 공사업,,,,
드림건설,중소기업,서울 양천구,건물 건설업,,,,
드림건설,중소기업,충남 천안시,조경 건설업,,,,
드림건설,중소기업,경기 파주시,사무.상업용 및 공공기관용 건물 건설업,,,,
드림건설,중소기업,대전 중구,건설·시공·토목·조경,,,,
드림건설,중소기업,경기 안성시,기타 비주거용 건물 건설업,,,,
드림건설,중소기업,경기 화성시,주거용 건물 건설업,5억원,20억 2천만원,김필균/홍지영,2018.05.10
가야종합건설,중소기업,서울 광진구,건물 건설업,5억원,35억 6천만원,김병화,2012.05.16
가야종합건설,중소기업,서울 영등포구,유리 및 창호 공사업,"5억 1,000만원",50억 1천만원,이관수,2014.07.24
올포원프레이트,중소기업,서울 금천구,"화물운송 중개, 대리 및 관련 서비스업",3억원,89억 9천만원,최용,2018.09.13
경원통신건설,중소기업,전북 전주시,일반 통신 공사업,4억원,"8억 3,235만원",김중석,2002.02.01
대동종합건설,중소기업,울산 남구,토목시설물 건설업,,,,
부흥,중소기업,부산 강서구,육상 금속 골조 구조재 제조업,,,,
부흥,중소기업,인천 남동구,전자 악기 제조업,,,,
부흥,중소기업,경기 하남시,가전제품 및 부품 도매업,,,,
부흥,중견기업,경남 함양군,호텔·여행·항공,,,,
부흥,중소기업,서울 구로구,건설·시공·토목·조경,,,,
부흥,중소기업,부산 강서구,무기 및 총포탄 제조업,,,,
부흥,중소기업,부산 남구,컨설팅·연구·조사,,,,
부흥,중소기업,충남 천안시,자동차·조선·철강·항공,,,,
부흥,중소기업,경기 의정부시,택시 운송업,-,-,김종섭,1979.11.27
부흥,벤처기업,경기 화성시,전기·전자·제어,"5,000만원",142억 6천만원,정인균,2004.11.01
디비종합건설,중견기업,경기 고양시,주거용 건물 개발 및 공급업,3억원,10억 4천만원,장지연,2015.08.22
에이스엠,중소기업,경기 수원시,경비 및 경호 서비스업,10억원,170억 8천만원,윤여선,2011.01.01
에이스엠,중소기업,경기 용인시,전자감지장치 제조업,2억원,"7억 9,497만원",김용화,2008.01.21
에이스엠,중소기업,경기 안성시,기타 과실ㆍ채소 가공 및 저장 처리업,,,,
에이스엠,중소기업,서울 영등포구,백화점·유통·도소매,,,,
에이스엠,중소기업,서울 송파구,"빵류, 과자류, 당류, 초콜릿 도매업",,,,
에이스엠,중소기업,경기 광명시,그 외 기타 생활용품 도매업,,,,
에이스엠,중소기업,서울 서초구,시설관리·보안·경비,,,,
에이스엠,중소기업,부산광역시 영도구,그 외 기타 상품 전문 도매업,10억원,300억 7백만원,이기주,2015.07.01
에이스엠,중소기업,경북 경산시,기타 자동차 신품 부품 및 내장품 판매업,,,,
화신특수휠타,중소기업,경남 김해시,화학섬유직물 직조업,40억 3천만원,92억 3천만원,조인순/조성일,1993.07.20
핸디엄,중소기업,서울 강남구,식품가공,31억 5천만원,82억,한준성,2013.04.08
비브로,중소기업,서울 강남구,방송·케이블·프로덕션,"5억 6,665만원",243억(`23년),김세규,2006.07.01
비브로,중소기업,경기 김포시,화장품 및 화장용품 도매업,신상현,,"화장품,화장용품,상품종합 도소매/종이,판지제품,사무용 기계,장비 제조/광고 대행,포장,충전",2021.05.12
비브로,중소기업,서울 관악구,기타 가공식품 도매업,2억원,74억 6천만원,김형철/심으뜸,2020.10.15
비브로,중소기업,부산 부산진구,쇼핑몰·오픈마켓·소셜커머스,,,,
비브로,중소기업,충남 천안시,쇼핑몰·오픈마켓·소셜커머스,,,,
비브로,중소기업,서울 강남구,편조의복 제조업,,,,
비브로,중소기업,경기 성남시,전기·전자·제어,,,,
비브로,중소기업,충남 천안시,음식료·외식·프랜차이즈,,,,
비브로,중소기업,서울 마포구,만화 출판업,"5,000만원",11억 2천만원,정상훈,2017.03.17
비브로,중소기업,서울 서초구,상품 종합 도매업,"2,000만원",56억 8천만원,김종수,2005.11.15
이엘씨에이한국,중견기업,서울 강남구,화장품 및 화장용품 도매업,28억 1천만원,"5,030억 8천만원",장알렉상드르폴앙리아바르,1991.10.01
포유,중소기업,서울 중구,상용 인력 공급 및 인사관리 서비스업,1억원,80억 1백만원,이정영,2001.12.15
포유,삼구아이앤씨 계열사,서울 동작구,사업시설 유지.관리 서비스업,5억원,575억 4천만원,"민영준, 허인구",2005.07.01
포유,중견기업,서울 강남구,쇼핑몰·오픈마켓·소셜커머스,2억원,"1,147억 2천만",송효민,2011.08.01
포유,중소기업,서울 강남구,솔루션·SI·CRM·ERP,,,,
포유,중소기업,경기 고양시,전기·전자·제어,,,,
포유,일반법인,경기 수원시,그 외 기타 달리 분류되지 않은 제품 제조업,,,,
포유,중소기업,서울 금천구,가죽의복 제조업,,,,
포유,중소기업,광주 광산구,컴퓨터·하드웨어·장비,,,,
포유,중소기업,서울 강서구,시설관리·보안·경비,,,,
포유,중소기업,대구 중구,학원·어학원·교육원,,,,
디에이치알,중소기업,서울 용산구,학원·어학원·교육원,1억원,6억1천만,성충모,2006.04.12
디에이치알,중소기업,서울 강남구,컨설팅·연구·조사,김현정,B2B 외국어교육,"국민연금, 건강보험, 고용보험, 산재보험",2013.04.18
디에이치알,중소기업,경남 통영시,기타 옥외 시설물 축조 관련 전문공사업,"2억 7,500만원","5억 8,047만원",정인숙,2017.01.04
디에이치알,중소기업,충북 청주시,사업시설 유지.관리 서비스업,-,-,방성국,2017.12.20
디에이치알,중소기업,경기 성남시,컨설팅·연구·조사,"3,000만원",25억,구희근,2011.12.10
디에이치알,중소기업,충남 아산시,인력 공급업,-,-,국중혁,-
디에이치알,중소기업,서울특별시 영등포구,학원·어학원·교육원,,,,
디에이치알,중소기업,경기 화성시,시설관리·보안·경비,,,,
디에이치알,중소기업,서울 금천구,포털·컨텐츠·커뮤니티,,,,
디에이치알,중소기업,서울 은평구,온라인 교육 학원,,,,
가구이슈,중소기업,서울 중구,금속 가구 제조업,,,,
가구이슈,중소기업,서울 중구,사무용 가구 및 기기 도매업,1억원,58억 9천만원,임지혁,2007.01.01
가구이슈,중소기업,경기 김포시,금속·재료·자재,-,-,윤종훈,2003
가구이슈,중소기업,서울 동작구,가구 소매업,-,-,이홍섭,1997.01.11
가구이슈,중소기업,경기 남양주시,기타 목재가구 제조업,1억원,10억 2천만원,황성민,2018.01.19
가구이슈,중소기업,서울 영등포구,그 외 기타 가구 제조업,-,-,이정민,-
가구이슈,중소기업,세종,생활용 가구 도매업,-,-,조윤정,2022.08.10
바이퍼럭스,중소기업,서울 금천구,"컴퓨터 및 주변장치, 소프트웨어 도매업",,,,
신원,중견기업,서울 마포구,여자용 겉옷 제조업,,,,
신원,중견기업,충남 아산시,자동차 차체용 신품 부품 제조업,,,,
신원,중소기업,서울 강남구,건설·시공·토목·조경,529억원,2850억,김성민,1983.05.30
신원,중소기업,서울 영등포구,건설·시공·토목·조경,4억원,190억,민현기,1980.04.11
신원,중소기업,인천 남동구,금속·재료·자재,66억원,580억,김태균,1978.04.05
신원,중소기업,서울 마포구,부직포 및 펠트 제조업,3억원,137억 7천만원,이용국,1972.07.01
신원,중소기업,서울 마포구,출판·인쇄·사진,-,-,김태은/김태광,1986.01.01
신원,중소기업,경기 부천시,출판·인쇄·사진,4억원,95억4천,장시엽,2011.12.01
신원,비영리법인,경기도 광명시,그 외 기타 보건업,223억 5천만원,713억 1천만원,이병미,2012.12.20
신원,중소기업,서울 송파구,의약품 도매업,,,,
정성환경산업,중소기업,충북 청주시,재생용 재료 수집 및 판매업,,,,
디아이디시스템,중소기업,경기도 부천시,"컴퓨터 및 주변장치, 소프트웨어 도매업",-,-,김도형,2002.06.20
코리아세븐,중소기업,부산 금정구,상품 종합 도매업,"1,000만원","5억 8,579만원",김영아,2017.03.09
코리아세븐,중소기업,경남 창원시,물류·운송·배송,3억원,120억원,장 화 석,2023.06.29
코리아세븐,중소기업,경기 김포시,상품 종합 도매업,2억원,179억 1천만원,김도훈,2015.10.15
코리아세븐,중소기업,인천 중구,내부 통신배선 공사업,,,,
코리아세븐,중소기업,경기 파주시,그 외 자동차용 신품 부품 제조업,,,,
코리아세븐,중소기업,서울 강남구,생활화학·화장품,,,,
코리아세븐,중소기업,제주 제주시,그 외 기타 일반목적용 기계 제조업,,,,
마이라이드,중소기업,경기 남양주시,자동차·조선·철강·항공,,,,
네오테크,중소기업,경북 김천시,그 외 자동차용 신품 부품 제조업,,,,
네오테크,중소기업,경기 용인시,기타 반도체소자 제조업,,,,
네오테크,중소기업,광주 서구,그 외 기타 기계 및 장비 도매업,,,,
네오테크,중소기업,충남 아산시,자동차용 금속 압형제품 제조업,2억 300만원,63억 4천만원,김상식,2010.08.17
네오테크,중소기업,경기 성남시,전지 및 케이블 도매업,"5,000만원",30억,최우진,2014.07.02
네오테크,중소기업,경기 하남시,출판·인쇄·사진,-,-,탁철민외1,-
네오테크,중소기업,서울 노원구,콜센터·아웃소싱·기타,-,-,조도연,-
네오테크,중소기업,경북 포항시,금속 절삭기계 제조업,,,,
네오테크,중소기업,서울 송파구,응용 소프트웨어 개발 및 공급업,,,,
