기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
문화종합건설,중소기업,충남 당진시,기타 토목시설물 건설업,12억 1천만원,123억 4천만원,성광일,2000.06.14
문화종합건설,중소기업,경기 광주시,건물 건설업,"3억 5,000만원",76억 7천만원,유기철,2019.07.02
벌룬스틱스코리아,중소기업,서울특별시 성동구,그 외 기타 고무제품 제조업,1억원,105억 4천만원,김철호,2003.03.10
기림엔지니어링,중소기업,경기 성남시,건축·설비·환경,2억원,92억오천만원,이은종,1996.07.15
하나수산,중소기업,충북 진천군,백화점·유통·도소매,-,-,최영옥,-
하나수산,중소기업,부산 수영구,물류·운송·배송,-,-,김미화,2008.08.01
하나수산,중소기업,제주 제주시,제약·보건·바이오,-,-,장계환,1995.01.05
한들,대기업 계열사·자회사,서울 중구,음식료·외식·프랜차이즈,200억원,1조 40억원,이석구,1999.07.27
한들,대기업,경기 부천시,비메모리용 및 기타 전자집적회로 제조업,"2,225억 5천만원","9,915억 8천만원",조기석,1953.04.28
한들,대기업,서울 중구,플라스틱 창호 제조업,500억원,3조 918억원,노진서/한주우,2009.04.02
한들,대기업,경기 이천시,그 외 기타 분류 안된 사업지원 서비스업,25억 3백만원,"3,989억 6천만원",윤종수,2001.05.01
한들,중견기업,서울 강남구,생활화학·화장품,-,"6,300억원",크리스토퍼킨더슬리우드,2004.12.24
한들,벤처기업,서울 송파구,화학·에너지·환경,,,,
한들,중소기업,경기 안산시,반도체·디스플레이·광학,19억원,377억,민성욱,2000.11.06
한들,중견기업,경기 성남시,제약·보건·바이오,54억원,"3,408억원","강기석, 김신규",1993.12.20
한들,중소기업,부산 해운대구,사업시설 유지.관리 서비스업,"1,189억 1천만원",436억 8천만원,손수득,1995.12.05
한들,중소기업,서울 강남구,시장조사 및 여론조사업,"7,144만원",733억 5천만원,노익상,1987.03.11
에이치백시스템,중소기업,서울 광진구,배관 및 냉ㆍ난방 공사업,"1억 5,000만원",조은채,"냉난방기설치공사,환기시스템설치공사/가전제품,부품 도소매,전자상거래/냉난방기 유지보수,세척(청소)/컨설팅",2012.05.16
주원산업개발,중소기업,전북 전주시,기타 옥외 시설물 축조 관련 전문공사업,5억 500만원,83억 2천만원,박종환,2013.01.04
주원산업개발,중소기업,경기 시흥시,부동산·중개·임대,-,-,"홍정순,정영일",2024.09.13
주원산업개발,중소기업,광주 북구,시설물 유지관리 공사업,-,-,정주희,2019.03.25
크론티어스,중소기업,서울 강남구,응용 소프트웨어 개발 및 공급업,"1억 1,722만원","3억 9,057만원",김형근,2013.04.05
동부석유,중소기업,경남 창원시,정비·A/S·카센터,-,-,김영필,-
햅스토어,중소기업,서울 강남구,백화점·유통·도소매,6억 7만원,100억,박승범,2006.01.05
알파아이엔씨,중소기업,대전 대덕구,컴퓨터·하드웨어·장비,2억원,74억,이상민,2001.02.07
정금산업,중소기업,경기 남양주시,1차 금속제품 도매업,1억원,"5억 7,178만원",김창한,2006.09.01
아임푸드,중소기업,경기 군포시,과자류 및 코코아 제품 제조업,"3,391만원","2억 8,203만원",구준회,2008.04.11
대풍산업,중소기업,서울 성동구,건설·시공·토목·조경,배대환,"조달청우수제품지정,친환경목재데크,목교,출렁다리,조경시설물,기&#55149;설계,제작설치까지.","국민연금, 건강보험, 고용보험, 산재보험",1971
대풍산업,중소기업,경기 안양시,생활용품·소비재·기타,-,34억,심정식,2018.08.20
대풍산업,중소기업,서울 중구,호텔·여행·항공,-,-,신기준,2012.01.01
대풍산업,중소기업,인천 남동구,동물용 의약품 제조업,"4억 5,880만원",84억 4천만원,최호연,1975.04.08
대풍산업,중소기업,울산 울주군,자동차·조선·철강·항공,-,-,김연국,2006.01.01
대풍산업,중소기업,경북 영천시,철강선 제조업,"4억 9,566만원",497억 7천만원,이성우,1986.05.01
대풍산업,중소기업,부산 사하구,그 외 기타 분류 안된 섬유제품 제조업,"2억 3,000만원",16억 5천만원,강필구,2003.01.14
대풍산업,중소기업,부산 강서구,그 외 기타 전자부품 제조업,"1,000만원",15억 7천만원,김숙향,2014.01.03
대풍산업,중소기업,서울 강남구,주거용 건물 개발 및 공급업,15억원,233억 1천만원,최준원,2016.01.01
대풍산업,중소기업,인천 계양구,유리 및 창호 공사업,2억원,53억 9천만원,윤금중,1992.07.01
아원종합건설,중소기업,경기 광명시,단독 주택 건설업,5억원,92억 1백만원,홍진영,2016.07.04
